step_id	stage	script	status	required_inputs	main_outputs	command_example	resume_safe
00a	manifest_build	legacy/chapter4/00_manifest_builder.py	canonical_or_support	samples_meta.tsv; raw_data or raw_data_trimmed	analysis_results/00_manifest/manifest.tsv	python legacy/chapter4/00_manifest_builder.py --project_dir PROJECT --meta PROJECT/samples_meta.tsv --raw_dir PROJECT/raw_data --out_dir PROJECT/analysis_results/00_manifest	no
00b	manifest_validate	legacy/chapter4/00_validate_manifest.py	canonical_or_support	manifest.tsv	validated manifest report	python legacy/chapter4/00_validate_manifest.py --help	no
00c	primer_trim	legacy/chapter4/00_trim_primers.py	canonical_or_support	raw FASTQ; primer definitions	trimmed FASTQ	python legacy/chapter4/00_trim_primers.py --help	partial
00d	primer_residue_check	legacy/chapter4/00_check_primer_residue.py	canonical_or_support	FASTQ after trimming	primer residue report	python legacy/chapter4/00_check_primer_residue.py --help	no
01a	qc	legacy/chapter4/01_QC.py	canonical_or_support	FASTQ or manifest	QC tables	python legacy/chapter4/01_QC.py --help	no
01b	preprocess_se	legacy/chapter4/01_preprocess_sequences_se.py	canonical_or_support	manifest.tsv; FASTQ files	per-sample stats; global SQLite; ALL_UNIQUE_SEQUENCES.fasta	python legacy/chapter4/01_preprocess_sequences_se.py --project_dir PROJECT --manifest PROJECT/analysis_results/00_manifest/manifest.tsv --out_dir PROJECT/analysis_results/01_Sequences	yes
01c	global_count_filter	legacy/chapter4/01b_build_global_counts_and_filter.py	canonical_or_support	per-sample stats/global sequences	global count and filtered sequence tables	python legacy/chapter4/01b_build_global_counts_and_filter.py --help	no
02a	sequence_features	legacy/chapter4/02a_calc_features_chunk.py	canonical_or_support	unique sequence FASTA/chunk input	sequence-level feature chunks	python legacy/chapter4/02a_calc_features_chunk.py --help	partial
02a_submit	sequence_features_submit	legacy/chapter4/02a_submit_features.sh	canonical_or_support	sequence chunks; Slurm environment	feature jobs	bash legacy/chapter4/02a_submit_features.sh	partial
02b1	kmer_aggregate	legacy/chapter4/02b1_agg_kmers_chunk.py	canonical_or_support	sequence chunks	k-mer aggregate chunks	python legacy/chapter4/02b1_agg_kmers_chunk.py --help	partial
02b1_submit	kmer_aggregate_submit	legacy/chapter4/02b1_submit_agg_kmers.sh	canonical_or_support	sequence chunks; Slurm environment	k-mer aggregate jobs	bash legacy/chapter4/02b1_submit_agg_kmers.sh	partial
